Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
Bobby collects number0 blocks . Bobby 's father gives Bobby number1 more .,2.0 6.0,+ number0 number1,8.0,"[1, 2, 3, 9, 10, 11]",Bobby collects number0 blocks . Bobby 's father gives Bobby number1 more .,How many blocks does Bobby have ?
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,81.0 41.0 8.0,/ - number0 number1 number2,5.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?
Bobby has number0 books . Kristi has number1 books .,142.0 78.0,- number0 number1,64.0,"[1, 2, 3, 6, 7, 8]",Bobby has number0 books . Kristi has number1 books .,How many more books does Bobby have than Kristi ?
"Eric has number0 erasers . If he shares them among number1 friends ,",9306.0 99.0,/ number0 number1,94.0,"[1, 2, 3, 9, 10, 11]","Eric has number0 erasers . If he shares them among number1 friends ,",how many erasers does each friend get ?
"Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds ,",3.0 11.0 16.0,/ + number1 number2 number0,9.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32]","Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?
"Joan bought toy cars for $ number0 , a skateboard for $ number1 , and got toy trucks for $ number2 . She spent $ number3 on pants . In total ,",14.88 4.88 5.86 14.55,+ + number0 number1 number2,25.62,"[5, 6, 7, 11, 12, 13, 19, 20, 21, 24, 25, 26]","Joan bought toy cars for $ number0 , a skateboard for $ number1 , and got toy trucks for $ number2 . She spent $ number3 on pants . In total ,",how much did Joan spend on toys ?
"Haley baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",20.0 11.0 3.0,/ - number0 number1 number2,3.0,"[1, 2, 3, 17, 18, 19]","Haley baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",how many packages could she make if she put number2 cupcake in each package ?
"Sue ’ s mother made number0 cookies . She put the cookies in bags , with number1 cookies in each bag .",75.0 3.0,/ number0 number1,25.0,"[3, 4, 5, 14, 15, 16]","Sue ’ s mother made number0 cookies . She put the cookies in bags , with number1 cookies in each bag .",How many bags could she fill up ?
Benny picked number0 apples and Dan picked number1 apples from the apple tree .,2.0 9.0,+ number0 number1,11,"[1, 2, 3, 6, 7, 8]",Benny picked number0 apples and Dan picked number1 apples from the apple tree .,How many apples were picked in total ?
"There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group ,",2.0 6.0 4.0,/ + number0 number1 number2,2.0,"[5, 6, 7, 9, 10, 11, 21, 22, 23]","There school 's baseball team had number0 new players and number1 returning players . If the coach put them into groups with number2 players in each group ,",how many groups would there be ?
Mika had number0 stickers . She bought number1 stickers from a store in the mall and got number2 stickers for her birthday . Then Mika gave number3 of the stickers to her sister and used number4 to decorate a greeting card .,20.0 26.0 20.0 6.0 58.0,- + + number0 number1 number0 + number3 number4,2.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18, 25, 26, 27, 34, 35, 36]",Mika had number0 stickers . She bought number1 stickers from a store in the mall and got number2 stickers for her birthday . Then Mika gave number3 of the stickers to her sister and used number4 to decorate a greeting card .,How many stickers does Mika have left ?
Beka flew number0 miles to visit her aunt . Jackson flew number1 miles to visit his aunt .,873.0 563.0,- number0 number1,310.0,"[1, 2, 3, 10, 11, 12]",Beka flew number0 miles to visit her aunt . Jackson flew number1 miles to visit his aunt .,How many more miles did Beka fly than Jackson ?
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars ,",2.0 13.0 4.0,* number0 - number1 number2,18.0,"[7, 8, 9, 13, 14, 15, 21, 22, 23]","Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars ,",how much money would she have made ?
"Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",39.0 19.0 5.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 10, 11, 12, 24, 25, 26]","Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",How many pieces of clothing could go in each of the small loads ?
It took Katherine number0 hours to run to Louis 's house at number1 miles per hour .,3.0 8.0,* number0 number1,24.0,"[2, 3, 4, 11, 12, 13]",It took Katherine number0 hours to run to Louis 's house at number1 miles per hour .,How far is it between Katherine 's house and Louis 's house ?
"George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",28.0 4.0 36.0,- + number0 number2 number1,60.0,"[1, 2, 3, 8, 9, 10, 17, 18, 19]","George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?
"One stamp costs number0 cents . If the cost of each stamp remains the same ,",34.0 4.0,* number0 number1,134.0,"[2, 3, 4]","One stamp costs number0 cents . If the cost of each stamp remains the same ,",how much would number1 stamps cost ?
Norma has number0 cards . She loses number1 .,88.0 70.0,- number0 number1,18.0,"[1, 2, 3, 6, 7, 8]",Norma has number0 cards . She loses number1 .,How many cards will Norma have ?
"Debby had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",30.0 7.0 35.0,- + number0 number2 number1,58.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]","Debby had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?
For Halloween Emily received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,54.0 33.0 7.0,/ - number0 number1 number2,3.0,"[3, 4, 5, 10, 11, 12, 19, 20, 21]",For Halloween Emily received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?
William has number0 bottle caps . He buys number1 more .,2.0 41.0,+ number0 number1,43.0,"[1, 2, 3, 7, 8, 9]",William has number0 bottle caps . He buys number1 more .,How many bottle caps does William have in all ?
"Tom had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",10.0 25.0 5.0,- + number0 number1 number2,30.0,"[3, 4, 5, 8, 9, 10, 20, 21, 22]","Tom had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",how many did he not wash ?
"There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",58.0 10.0 8.0,/ - number0 number1 number2,6.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?
"Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",8.0 22.0 2.0,/ + number1 number2 number0,3.0,"[17, 18, 19, 22, 23, 24, 25, 26, 27]","Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?
The Silvergrove Public Library used a grant to purchase number0 books . Now the library has a total of number1 books .,2647.0 8582.0,- number1 number0,5935.0,"[8, 9, 10, 18, 19, 20]",The Silvergrove Public Library used a grant to purchase number0 books . Now the library has a total of number1 books .,How many books did the library have before the grant ?
A pet supply store has number0 bags of dog food and number1 bags of cat food .,600.0 327.0,- number0 number1,273.0,"[4, 5, 6, 10, 11, 12]",A pet supply store has number0 bags of dog food and number1 bags of cat food .,How many more bags of dog food are there than cat food ?
"A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",3.0 15.0 7.0,* number0 - number1 number2,24.0,"[2, 3, 4, 11, 12, 13, 19, 20, 21]","A worksheet had number0 problems on it . If a teacher had number1 worksheets to grade and had already graded number2 of them ,",how many more problems does she have to grade ?
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,31.0 5.0 11.0,- + number0 number2 number1,37.0,"[4, 5, 6, 16, 17, 18, 20, 21, 22]",In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school .,How many students were in fourth grade at the end ?
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,102.0 21.0 9.0,/ - number0 number1 number2,9.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?
"Fred found number0 seashells on the beach , he gave Jessica number1 of the seashells .",47.0 25.0,- number0 number1,22.0,"[1, 2, 3, 10, 11, 12]","Fred found number0 seashells on the beach , he gave Jessica number1 of the seashells .",How many seashells does he now have ?
Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes .,2.0 9.0,* number0 number1,18.0,"[2, 3, 4]",Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes .,How many ounces of soap will she use to wash number1 pounds of clothes ?
Tom was at the beach for number0 days and found number1 seashells every day .,5.0 7.0,* number0 number1,35.0,"[5, 6, 7, 9, 10, 11]",Tom was at the beach for number0 days and found number1 seashells every day .,How many seashells did Tom find during the beach trip ?
"Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",4.0 3.0 6.0,* number2 + number0 number1,42.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28]","Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?
Mark sprinted number0 miles at number1 miles per hour .,24.0 6.0,/ number0 number1,4.0,"[1, 2, 3, 4, 5, 6]",Mark sprinted number0 miles at number1 miles per hour .,How long did Mark sprint ?
Tim has number0 books . Mike has number1 books .,22.0 20.0,+ number0 number1,42,"[1, 2, 3, 6, 7, 8]",Tim has number0 books . Mike has number1 books .,How many books do they have together ?
"Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store .",5.0 3.0 9.0,+ number0 number1,8.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]","Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store .",How many oranges does Clarence have in all ?
"Students at Arcadia schools are participating in a coat drive . number0 coats have been collected so far . number1 coats were collected from the high schools , and the rest from the elementary schools .",9437.0 6922.0,- number0 number1,2515.0,"[10, 11, 12, 18, 19, 20]","Students at Arcadia schools are participating in a coat drive . number0 coats have been collected so far . number1 coats were collected from the high schools , and the rest from the elementary schools .",How many coats were collected at the elementary schools ?
"Oliver had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",33.0 4.0 32.0,- + number0 number2 number1,61.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20]","Oliver had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",how much money would he have ?
"Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",3.0 7.0 7.0,* number1 + number0 number1,70.0,"[11, 12, 13, 15, 16, 17, 24, 25, 26]","Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?
"Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",6.0 3.0 8.0,* number2 + number0 number1,72.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28]","Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?
"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",47.0 27.0 4.0,/ - number0 number1 number2,5.0,"[2, 3, 4, 10, 11, 12, 27, 28, 29]","The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",how many pies could they make ?
"Zoe had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more ,",42.0 25.0 30.0,- + number0 number2 number1,47.0,"[1, 2, 3, 12, 13, 14, 18, 19, 20]","Zoe had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more ,",how many bottles would she have ?
Carolyn starts with number0 marbles and number1 oranges . She shares number2 with Diana .,47.0 6.0 42.0,- number0 number2,5.0,"[2, 3, 4, 5, 6, 7, 10, 11, 12]",Carolyn starts with number0 marbles and number1 oranges . She shares number2 with Diana .,How many marbles does Carolyn end with ?
"number0 evening , a restaurant served a total of number1 loaf of wheat bread and number2 loaf of white bread .",1.0 0.2 0.4,+ number1 number2,0.6,"[0, 1, 8, 9, 10, 14, 15, 16]","number0 evening , a restaurant served a total of number1 loaf of wheat bread and number2 loaf of white bread .",How many loaves were served in all ?
"Janet was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",47.0 23.0 46.0,- + number0 number2 number1,70.0,"[7, 8, 9, 19, 20, 21, 25, 26, 27]","Janet was playing a video game and had number0 lives . In a hard part of the game she lost number1 lives . If she got number2 more lives in the next level ,",how many lives would she have ?
"On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets .",1.0 8.8,+ number0 number1,9.8,"[6, 7, 8, 23, 24, 25]","On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets .",How much water did Sam pour into the pool ?
Clarence has number0 tickets . He gives number1 to Eugene .,99.0 7.0,- number0 number1,92.0,"[1, 2, 3, 6, 7, 8]",Clarence has number0 tickets . He gives number1 to Eugene .,How many tickets will Clarence have ?
"Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",8.0 5.0 30.0,- + number0 number2 number1,33.0,"[1, 2, 3, 11, 12, 13, 19, 20, 21]","Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",how many songs does she have on her mp3 player ?
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",9.0 4.0 3.0,* number0 + number1 number2,63.0,"[2, 3, 4, 10, 11, 12, 13, 14, 15]","A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",How many customers total did the waiter have ?
"Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria ,",2.0 99.0,+ number0 number1,101.0,"[1, 2, 3, 6, 7, 8]","Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria ,",how many pencils will Gloria have ?
A recipe calls for number0 cup of diced green pepper .,0.6667 0.5,* number0 number1,0.3333,"[3, 4, 5]",A recipe calls for number0 cup of diced green pepper .,Give the number of cups of diced green pepper that should be used to make number1 of this recipe .
Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls .,219.0 229.0,+ number0 number1,448.0,"[14, 15, 16, 20, 21, 22]",Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls .,What is the total number of egg rolls Omar and Karen rolled ?
Tom and his friend were buying trick decks from the magic shop for number0 dollars each .,8.0 3.0 5.0,* number0 + number1 number2,64.0,"[12, 13, 14]",Tom and his friend were buying trick decks from the magic shop for number0 dollars each .,How much did they spend if Tom bought number1 decks and his friend bought number2 decks ?
A restaurant served number0 pizzas during lunch and number1 during dinner today .,9.0 6.0,+ number0 number1,15,"[2, 3, 4, 7, 8, 9]",A restaurant served number0 pizzas during lunch and number1 during dinner today .,How many pizzas were served today ?
"Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",5.0 3.0 5.0,* number0 + number0 number1,40.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28]","Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?
"A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in ,",38.0 4.0 15.0,- + number0 number2 number1,49.0,"[2, 3, 4, 10, 11, 12, 15, 16, 17]","A teacher had number0 worksheets to grade . If she graded number1 , but then another number2 were turned in ,",how many worksheets would she have to grade ?
A perfect score is number0 points .,21.0 3.0,* number0 number1,63.0,"[3, 4, 5]",A perfect score is number0 points .,How many points would you have after number1 perfect games in a row ?
David has number0 boxes of stuffed toy dogs . Each box has number1 dogs in it .,7.0 4.0,* number0 number1,28.0,"[1, 2, 3, 11, 12, 13]",David has number0 boxes of stuffed toy dogs . Each box has number1 dogs in it .,How many dogs are there in all ?
"Joan purchased a basketball game for $ number0 , and a racing game for $ number1 .",5.2 4.23,+ number0 number1,9.43,"[6, 7, 8, 14, 15, 16]","Joan purchased a basketball game for $ number0 , and a racing game for $ number1 .",How much did Joan spend on video games ?
Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels .,27.0 15.0 33.0 49.0,+ number1 number2,48,"[1, 2, 3, 4, 4, 5, 6, 7]",Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels .,How many dimes does he have now ?
"Ned had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each ,",15.0 6.0 7.0,* number2 - number0 number1,63.0,"[1, 2, 3, 5, 6, 7, 22, 23, 24]","Ned had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each ,",how much money could he earn ?
Carla has some marbles . She bought number0 marbles . Now she has number1 marbles .,134.0 187.0,- number1 number0,53.0,"[6, 7, 8, 12, 13, 14]",Carla has some marbles . She bought number0 marbles . Now she has number1 marbles .,How many did she start with ?
"If books came from all the number0 continents that Bryan had been into and he collected number1 books per continent ,",4.0 122.0 4.0,* number0 number1,488.0,"[5, 6, 7, 15, 16, 17]","If books came from all the number0 continents that Bryan had been into and he collected number1 books per continent ,",how many books does he have from all number2 continents combined ?
There were number0 geese and number1 ducks in the marsh .,58.0 37.0,+ number0 number1,95.0,"[1, 2, 3, 4, 5, 6]",There were number0 geese and number1 ducks in the marsh .,How many birds were there in all ?
Adam has $ number0 to buy an airplane that costs $ number1 .,5.0 4.28,- number0 number1,0.72,"[2, 3, 4, 10, 11, 12]",Adam has $ number0 to buy an airplane that costs $ number1 .,How much change will he get ?
"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left ,",5.0 14.0 5.0,* number0 - number1 number0,45.0,"[7, 8, 9, 15, 16, 17, 26, 27, 28]","A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left ,",how much money did he earn ?
If number0 of number1 pets are cats .,0.5 8.0,* number0 number1,4.0,"[0, 1, 2, 2, 3, 4]",If number0 of number1 pets are cats .,How many are cats ?
"Diana has number0 erasers . If she shares them among number1 friends ,",3840.0 48.0,/ number0 number1,80.0,"[1, 2, 3, 9, 10, 11]","Diana has number0 erasers . If she shares them among number1 friends ,",how many erasers does each friend get ?
Angela has number0 tickets . Annie gives Angela number1 more .,11.0 4.0,+ number0 number1,15.0,"[1, 2, 3, 7, 8, 9]",Angela has number0 tickets . Annie gives Angela number1 more .,How many tickets does Angela have in all ?
Debby bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,16.0 40.0 33.0,- + number0 number1 number2,23.0,"[7, 8, 9, 13, 14, 15, 22, 23, 24]",Debby bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,How many pictures does she still have to color ?
Connie has number0 marbles . Juan has number1 more marbles than Connie .,39.0 25.0,+ number0 number1,64.0,"[1, 2, 3, 6, 7, 8]",Connie has number0 marbles . Juan has number1 more marbles than Connie .,How many marbles does Juan have ?
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Wendy sold all but number2 bars ,",3.0 9.0 3.0,* number0 - number1 number0,18.0,"[7, 8, 9, 13, 14, 15, 21, 22, 23]","Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Wendy sold all but number2 bars ,",how much money would she have made ?
number0 students are going to the zoo . They have to be divided into groups so that each teacher has one group . There are number1 teachers .,256.0 8.0,/ number0 number1,32.0,"[0, 1, 24, 25, 26]",number0 students are going to the zoo . They have to be divided into groups so that each teacher has one group . There are number1 teachers .,How many students will be in each group ?
"On Saturday , Sara spent $ number0 each on number1 tickets to a movie theater . Sara also rented a movie for $ number2 , and bought a movie for $ number3 .",10.62 2.0 1.59 13.95,+ + * number0 number1 number2 number3,36.78,"[5, 6, 7, 8, 6, 7, 8, 9]","On Saturday , Sara spent $ number0 each on number1 tickets to a movie theater . Sara also rented a movie for $ number2 , and bought a movie for $ number3 .",How much money in total did Sara spend on movies ?
"Sandy went to the mall to buy clothes . She spent $ number0 on shorts , $ number1 on a shirt , and $ number2 on a jacket .",13.99 12.14 7.43,+ + number0 number1 number2,33.56,"[11, 12, 13, 16, 17, 18, 23, 24, 25]","Sandy went to the mall to buy clothes . She spent $ number0 on shorts , $ number1 on a shirt , and $ number2 on a jacket .",How much money did Sandy spend on clothes ?
William has number0 bottle caps . He buys number1 more .,2.0 41.0,+ number0 number1,43.0,"[1, 2, 3, 7, 8, 9]",William has number0 bottle caps . He buys number1 more .,How many bottle caps does William have in all ?
"Rose has number0 apples and number1 erasers . If she shares the apples among number2 friends ,",9.0 12.0 3.0,- number1 number0,3.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]","Rose has number0 apples and number1 erasers . If she shares the apples among number2 friends ,",how many apples does each friend get ?
Lizette has number0 stamps . Lizette has number1 more stamps than Minerva .,813.0 125.0,- number0 number1,688.0,"[1, 2, 3, 6, 7, 8]",Lizette has number0 stamps . Lizette has number1 more stamps than Minerva .,How many stamps does Minerva have ?
"A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers ,",33.0 31.0 26.0,- + number0 number2 number1,28.0,"[2, 3, 4, 9, 10, 11, 16, 17, 18]","A waiter had number0 customers to wait on . If number1 customers left and he got another number2 customers ,",how many customers would he have ?
Kathleen went to the store number0 times last month . She buys number1 bottle caps each time she goes to the store .,5.0 5.0,* number0 number0,25.0,"[4, 5, 6, 11, 12, 13]",Kathleen went to the store number0 times last month . She buys number1 bottle caps each time she goes to the store .,How many bottle caps did Kathleen buy last month ?
Eve ran number0 mile and walked number1 mile .,0.7 0.6,- number0 number1,0.1,"[1, 2, 3, 5, 6, 7]",Eve ran number0 mile and walked number1 mile .,How much farther did Eve run than walk ?
Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards .,40.0 22.0,- number0 number1,18,"[1, 2, 3, 7, 8, 9]",Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards .,How many baseball cards does Fred have now ?
"While on vacation , Nancy took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",49.0 8.0 38.0,- + number0 number1 number2,19.0,"[5, 6, 7, 11, 12, 13, 20, 21, 22]","While on vacation , Nancy took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",how many pictures from her vacation did she still have ?
"Kendra made punch for her friend 's birthday party . She used number0 gallon of grape juice , number1 gallon of cranberry juice , and number2 gallon of club soda .",0.25 0.375 0.125,+ + number0 number1 number2,0.75,"[11, 12, 13, 17, 18, 19, 24, 25, 26]","Kendra made punch for her friend 's birthday party . She used number0 gallon of grape juice , number1 gallon of cranberry juice , and number2 gallon of club soda .",How many gallons of punch did Kendra make ?
Isabella ’ s hair is number0 inches long . By the end of the year her hair is number1 inches long .,18.0 24.0,- number1 number0,6.0,"[3, 4, 5, 16, 17, 18]",Isabella ’ s hair is number0 inches long . By the end of the year her hair is number1 inches long .,How much hair did she grow ?
"Katie uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",30.0 51.0 9.0,/ + number0 number1 number2,9.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22]","Katie uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?
There are number0 pencils and number1 crayons in the drawer . Joan placed number2 pencils in the drawer .,33.0 44.0 27.0,+ number0 number2,60,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",There are number0 pencils and number1 crayons in the drawer . Joan placed number2 pencils in the drawer .,How many pencils are now there in total ?
There are number0 maple trees and number1 popular trees currently in the park . Park workers will plant number2 maple trees today .,2.0 5.0 9.0,+ number0 number2,11,"[1, 2, 3, 5, 6, 7, 17, 18, 19]",There are number0 maple trees and number1 popular trees currently in the park . Park workers will plant number2 maple trees today .,How many maple trees will the park have when the workers are finished ?
"On number0 consecutive passes , a football team gain number1 yards , loses number2 yards , gains number3 yards .",3.0 7.0 31.0 24.0,+ - number1 number2 number3,0.0,"[0, 1, 2, 8, 9, 10, 12, 13, 14, 16, 17, 18]","On number0 consecutive passes , a football team gain number1 yards , loses number2 yards , gains number3 yards .",What number represents the total net net yardage ?
Mary had number0 nickels in her bank . Her dad gave her number1 more nickels .,7.0 5.0,+ number0 number1,12.0,"[1, 2, 3, 11, 12, 13]",Mary had number0 nickels in her bank . Her dad gave her number1 more nickels .,How many nickels does Mary have now ?
Tim has number0 books . Sam has number1 books .,44.0 52.0,+ number0 number1,96,"[1, 2, 3, 6, 7, 8]",Tim has number0 books . Sam has number1 books .,How many books do they have together ?
Martha is inviting number0 friends to a party . She has number1 cookies .,4.0 12.0,/ number1 number0,3.0,"[2, 3, 4, 10, 11, 12]",Martha is inviting number0 friends to a party . She has number1 cookies .,How many cookies will each friend get ?
Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet .,30.0 4.0,* number0 number1,120.0,"[14, 15, 16]",Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet .,How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",8.0 11.0 2.0,* number0 - number1 number2,72.0,"[7, 8, 9, 17, 18, 19, 22, 23, 24]","At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",how much would it cost for the group to eat ?
"Faye had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",34.0 3.0 48.0,- + number0 number2 number1,79.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]","Faye had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?
"number0 cell phone plan costs number1 dollars per month . The first number2 minutes of use are free . Each minute thereafter costs number3 dollars . For a bill of number4 dollars ,",1.0 49.95 2500.0 0.25 112.45 2500.0,/ - number4 number1 number3,250.0,"[0, 1, 4, 5, 6, 11, 12, 13, 22, 23, 24, 29, 30, 31]","number0 cell phone plan costs number1 dollars per month . The first number2 minutes of use are free . Each minute thereafter costs number3 dollars . For a bill of number4 dollars ,",how many minutes over number5 was the cell phone in use ?
"If Heather bicycled number0 kilometers at number1 kilometers per hour ,",40.0 8.0,/ number0 number1,5.0,"[2, 3, 4, 5, 6, 7]","If Heather bicycled number0 kilometers at number1 kilometers per hour ,",how long was Heather bicycling ?
Eugene has number0 pencils . He gets number1 more from Joyce .,51.0 6.0,+ number0 number1,57.0,"[1, 2, 3, 6, 7, 8]",Eugene has number0 pencils . He gets number1 more from Joyce .,How many pencils does Eugene have in all ?
James had number0 stickers . He got some more stickers for his birthday . Then he had number1 stickers .,39.0 61.0,- number1 number0,22.0,"[1, 2, 3, 16, 17, 18]",James had number0 stickers . He got some more stickers for his birthday . Then he had number1 stickers .,How many stickers did James get for his birthday ?
There are number0 boys and some girls on the playground . There are number1 children altogether .,40.0 117.0,- number1 number0,77.0,"[1, 2, 3, 12, 13, 14]",There are number0 boys and some girls on the playground . There are number1 children altogether .,How many girls are on the playground ?
