Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
marco and his dad went strawberry picking . together they collected strawberries that weighed number0 pounds . on the way back marco lost number1 pounds of strawberries . marco 's strawberries now weighed number2 pounds . how much did his dad 's strawberries weigh ?,24 9 3,- number0 + number2 number1,12.0,"[32, 33, 34, 4, 5, 41, 42, 43, 13, 14, 15, 22, 23, 24]",Subtraction,22,marco and his dad went strawberry picking . together they collected strawberries that weighed number0 pounds . on the way back marco lost number1 pounds of strawberries . marco 's strawberries now weighed number2 pounds .,how much did his dad 's strawberries weigh ?
marco and his dad went strawberry picking . together they collected strawberries that weighed number0 pounds . on the way back marco ' dad lost number1 pounds of strawberries . marco 's strawberries now weighed number2 pounds . how much did his dad 's strawberries weigh now ?,36 8 12,- - number0 number2 number1,16.0,"[34, 35, 36, 5, 4, 7, 44, 13, 14, 15, 45, 46, 24, 25, 26]",Subtraction,22,marco and his dad went strawberry picking . together they collected strawberries that weighed number0 pounds . on the way back marco ' dad lost number1 pounds of strawberries . marco 's strawberries now weighed number2 pounds .,how much did his dad 's strawberries weigh now ?
marco and his dad went strawberry picking . together they collected strawberries that weighed number0 pounds . on the way back marco ' dad found number1 more pounds of strawberries . marco 's strawberries now weighed number2 pounds . how much did his dad 's strawberries weigh now ?,22 30 36,+ - number0 number2 number1,16.0,"[35, 36, 37, 5, 7, 4, 9, 13, 14, 15, 45, 46, 47, 24, 25, 26, 27]",Addition,22,marco and his dad went strawberry picking . together they collected strawberries that weighed number0 pounds . on the way back marco ' dad found number1 more pounds of strawberries . marco 's strawberries now weighed number2 pounds .,how much did his dad 's strawberries weigh now ?
marco and his dad went strawberry picking . marco 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds . how much did his dad 's strawberries weigh ?,15 37,- number1 number0,22.0,"[3, 4, 11, 12, 13, 19, 20, 21, 28, 29, 30]",Subtraction,32,marco and his dad went strawberry picking . marco 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds .,how much did his dad 's strawberries weigh ?
marco and his dad went strawberry picking . marco 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds . how much more did his strawberries weigh than his dad 's ?,30 17,- number0 - number1 number0,43.0,"[32, 33, 3, 4, 11, 12, 13, 19, 20, 21, 31]",Subtraction,"11, 32",marco and his dad went strawberry picking . marco 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds .,how much more did his strawberries weigh than his dad 's ?
marco and his dad went strawberry picking . marco 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds . how much more did his dad 's strawberries weigh than his ?,10 26,- - number1 number0 number0,6.0,"[32, 33, 3, 4, 11, 12, 13, 19, 20, 21, 31]",Subtraction,"11, 32",marco and his dad went strawberry picking . marco 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds .,how much more did his dad 's strawberries weigh than his ?
marco and his dad went strawberry picking . marco 's dad 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds . how much did marco 's strawberries weigh ?,11 30,- number1 number0,19.0,"[4, 5, 13, 14, 15, 21, 22, 23, 29, 30, 31]",Subtraction,"23, 32",marco and his dad went strawberry picking . marco 's dad 's strawberries weighed number0 pounds . if together their strawberries weighed number1 pounds .,how much did marco 's strawberries weigh ?
number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus . how many more children are on the bus now than there were before the bus stop ?,2 10,- number1 number0,8.0,"[0, 1, 2, 3, 7, 43, 44, 13, 45, 15, 22, 23, 24]",Subtraction,11,number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus .,how many more children are on the bus now than there were before the bus stop ?
number0 children were riding on the bus . at the bus stop number1 more children got on the bus . how many children are on the bus now ?,26 38,+ number0 number1,64.0,"[0, 1, 3, 6, 11, 12, 13, 14, 15, 25, 26, 27]",Addition,23,number0 children were riding on the bus . at the bus stop number1 more children got on the bus .,how many children are on the bus now ?
some children were riding on the bus . at the bus stop number0 more children got on the bus . then there were number1 children altogether on the bus . how many children were riding on the bus before the bus stop ?,2 41,- number1 number0,39.0,"[1, 2, 3, 4, 39, 40, 41, 11, 12, 13, 14, 15, 22, 23, 24]",Subtraction,23,some children were riding on the bus . at the bus stop number0 more children got on the bus . then there were number1 children altogether on the bus .,how many children were riding on the bus before the bus stop ?
number0 children were riding on the bus . at the bus stop some children got off the bus . then there were number1 children left on the bus . how many children got off the bus at the bus stop ?,43 21,- number0 number1,22.0,"[0, 1, 2, 3, 37, 38, 39, 14, 21, 22, 23]",Subtraction,22,number0 children were riding on the bus . at the bus stop some children got off the bus . then there were number1 children left on the bus .,how many children got off the bus at the bus stop ?
number0 children were riding on the bus . at the bus stop some children got off the bus . then there were number1 children left on the bus . how many more children were on the bus before the bus stop than there are now ?,41 18,- number0 number1,23.0,"[0, 1, 2, 3, 7, 42, 43, 44, 14, 21, 22, 23]",Subtraction,"22, 11",number0 children were riding on the bus . at the bus stop some children got off the bus . then there were number1 children left on the bus .,how many more children were on the bus before the bus stop than there are now ?
number0 children were riding on the bus . at the bus stop number1 children got off the bus while some more got on the bus . then there were number2 children altogether on the bus . how many children got on the bus at the bus stop ?,21 10 16,+ - number2 number0 number1,5.0,"[0, 1, 2, 3, 11, 12, 13, 14, 44, 45, 46, 28, 29, 30]",Addition,21,number0 children were riding on the bus . at the bus stop number1 children got off the bus while some more got on the bus . then there were number2 children altogether on the bus .,how many children got on the bus at the bus stop ?
number0 children were riding on the bus . at the bus stop number1 children got off the bus while some more got on the bus . then there were number2 children altogether on the bus . how many more children got on the bus than those that got off ?,5 63 14,- number2 number0,9.0,"[0, 1, 2, 3, 4, 11, 12, 13, 14, 46, 47, 48, 28, 29, 30]",Subtraction,"21, 11",number0 children were riding on the bus . at the bus stop number1 children got off the bus while some more got on the bus . then there were number2 children altogether on the bus .,how many more children got on the bus than those that got off ?
number0 children were riding on the bus . at the bus stop number1 children got off the bus while some more got on the bus . then there were number2 children altogether on the bus . how many more children got off the bus than those that got on ?,36 68 12,- number0 number2,24.0,"[0, 1, 2, 3, 4, 11, 12, 13, 14, 46, 47, 48, 28, 29, 30]",Subtraction,"21, 11",number0 children were riding on the bus . at the bus stop number1 children got off the bus while some more got on the bus . then there were number2 children altogether on the bus .,how many more children got off the bus than those that got on ?
number0 children were riding on the bus . at the bus stop number1 children got on the bus while some got off the bus . then there were number2 children altogether on the bus . how many children got off the bus at the bus stop ?,22 40 2,- + number0 number1 number2,60.0,"[0, 1, 2, 3, 11, 12, 13, 14, 43, 44, 45, 27, 28, 29]",Subtraction,22,number0 children were riding on the bus . at the bus stop number1 children got on the bus while some got off the bus . then there were number2 children altogether on the bus .,how many children got off the bus at the bus stop ?
number0 children were riding on the bus . at the bus stop number1 children got on the bus while some got off the bus . then there were number2 children altogether on the bus . how many more children got on the bus than those that got off ?,28 82 30,- number2 number0,2.0,"[0, 1, 2, 3, 4, 11, 12, 13, 14, 45, 46, 47, 27, 28, 29]",Subtraction,"22, 11",number0 children were riding on the bus . at the bus stop number1 children got on the bus while some got off the bus . then there were number2 children altogether on the bus .,how many more children got on the bus than those that got off ?
number0 children were riding on the bus . at the bus stop number1 children got on the bus while some got off the bus . then there were number2 children altogether on the bus . how many more children got off the bus than those that got on ?,23 24 8,- number0 number2,15.0,"[0, 1, 2, 3, 4, 11, 12, 13, 14, 45, 46, 47, 27, 28, 29]",Subtraction,"22, 11",number0 children were riding on the bus . at the bus stop number1 children got on the bus while some got off the bus . then there were number2 children altogether on the bus .,how many more children got off the bus than those that got on ?
baker made number0 cakes . if he sold number1 of them how many more cakes did baker make than those he sold ?,133 51,- number0 number1,82.0,"[1, 2, 3, 7, 8, 9, 19, 20, 21]",Subtraction,11,baker made number0 cakes . if he sold number1 of them,how many more cakes did baker make than those he sold ?
baker made number0 cakes . he sold some of them . if he still has number1 cakes left how many cakes did baker sell ?,54 13,- number0 number1,41.0,"[1, 2, 3, 8, 12, 14, 15, 16, 21, 22, 23]",Subtraction,23,baker made number0 cakes . he sold some of them . if he still has number1 cakes left,how many cakes did baker sell ?
baker made some cakes . he sold number0 of them . if he still has number1 cakes left how many cakes did baker make ?,145 72,+ number0 number1,217.0,"[1, 3, 6, 7, 8, 12, 14, 15, 16, 21, 22, 23]",Addition,23,baker made some cakes . he sold number0 of them . if he still has number1 cakes left,how many cakes did baker make ?
baker made number0 cakes . if his friend bought number1 cakes from him how many cakes would baker still have ?,155 140,- number0 number1,15.0,"[1, 2, 3, 8, 9, 10, 14, 17, 18, 19]",Subtraction,22,baker made number0 cakes . if his friend bought number1 cakes from him,how many cakes would baker still have ?
baker made number0 cakes . he sold number1 of them and bought number2 new cakes . how many cakes does baker still have ?,121 105 170,+ - number0 number1 number2,186.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 14, 20, 21, 22]",Addition,21,baker made number0 cakes . he sold number1 of them and bought number2 new cakes .,how many cakes does baker still have ?
baker made number0 cakes . he sold number1 of them and bought number2 new cakes . how many more cakes did baker buy than those he sold ?,13 91 154,- number2 number1,63.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 14, 24, 25, 26]",Subtraction,"21, 11",baker made number0 cakes . he sold number1 of them and bought number2 new cakes .,how many more cakes did baker buy than those he sold ?
baker made number0 cakes . he sold number1 of them and bought number2 new cakes . how many more cakes did baker sell than those he bought ?,170 78 31,- number1 number2,47.0,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 14, 24, 25, 26]",Subtraction,"21, 11",baker made number0 cakes . he sold number1 of them and bought number2 new cakes .,how many more cakes did baker sell than those he bought ?
baker made number0 cakes . he sold number1 of them . then he made number2 more cakes . how many cakes would baker still have ?,110 75 76,+ - number0 number1 number2,111.0,"[1, 2, 3, 4, 6, 7, 8, 13, 14, 15, 16, 22, 23, 24]",Addition,21,baker made number0 cakes . he sold number1 of them . then he made number2 more cakes .,how many cakes would baker still have ?
baker made number0 cakes . he sold number1 of them . then he made number2 more cakes . how many more cakes did baker make than those he sold ?,144 71 111,- + number0 number2 number1,184.0,"[1, 2, 3, 4, 6, 7, 8, 13, 14, 15, 16, 26, 27, 28]",Subtraction,"21, 11",baker made number0 cakes . he sold number1 of them . then he made number2 more cakes .,how many more cakes did baker make than those he sold ?
baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries how many cakes would baker still have ?,149 91 10 90,- number0 number2,139.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",Subtraction,33,baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries,how many cakes would baker still have ?
baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries how many pastries would baker still have ?,7 148 15 103,- number1 number3,45.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",Subtraction,"33, 12",baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries,how many pastries would baker still have ?
baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries how many more cakes than pastries did baker make ?,126 48 115 81,- number0 number1,78.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 11",baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries,how many more cakes than pastries did baker make ?
baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries how many more pastries than cakes did baker make ?,19 131 70 88,- number1 number0,112.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 13",baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries,how many more pastries than cakes did baker make ?
baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries how many more cakes than pastries did baker sell ?,157 169 158 147,- number2 number3,11.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 11",baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries,how many more cakes than pastries did baker sell ?
baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries how many more pastries than cakes did baker sell ?,54 143 68 92,- number3 number2,24.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 13",baker made number0 cakes and number1 pastries . if he sold number2 cakes and number3 pastries,how many more pastries than cakes did baker sell ?
baker sold number0 cakes . if he had made number1 cakes initially how many cakes would baker still have ?,44 48,- number1 number0,4.0,"[1, 2, 3, 8, 9, 10, 13, 16, 17, 18]",Subtraction,32,baker sold number0 cakes . if he had made number1 cakes initially,how many cakes would baker still have ?
baker sold number0 cakes . if he had made number1 cakes initially how many more cakes did baker make than those he sold ?,8 40,- number1 number0,32.0,"[1, 2, 3, 8, 9, 10, 20, 21, 22]",Subtraction,"11, 32",baker sold number0 cakes . if he had made number1 cakes initially,how many more cakes did baker make than those he sold ?
baker 's friend bought number0 cakes from him . if he had made number1 cakes initially how many cakes would baker still have ?,137 169,- number1 number0,32.0,"[3, 4, 5, 8, 12, 13, 14, 20, 21, 22]",Subtraction,"22, 32",baker 's friend bought number0 cakes from him . if he had made number1 cakes initially,how many cakes would baker still have ?
baker made number0 cakes . he bought number1 new cakes and sold number2 cakes . how many cakes does baker still have ?,173 103 86,+ - number0 number2 number1,190.0,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 19, 20, 21]",Addition,"21, 32",baker made number0 cakes . he bought number1 new cakes and sold number2 cakes .,how many cakes does baker still have ?
baker made number0 cakes . he bought number1 new cakes and sold number2 cakes . how many more cakes did baker buy than those he sold ?,99 167 89,- number1 number2,78.0,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 23, 24, 25]",Subtraction,"21, 11, 32",baker made number0 cakes . he bought number1 new cakes and sold number2 cakes .,how many more cakes did baker buy than those he sold ?
baker made number0 cakes . he bought number1 new cakes and sold number2 cakes . how many more cakes did baker sell than those he bought ?,8 139 145,- number2 number1,6.0,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 23, 24, 25]",Subtraction,"21, 11, 32",baker made number0 cakes . he bought number1 new cakes and sold number2 cakes .,how many more cakes did baker sell than those he bought ?
baker made number0 cakes . then he made number1 more cakes . he sold number2 of them . how many cakes would baker still have ?,62 149 144,+ - number0 number2 number1,67.0,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 22, 23, 24]",Addition,"21, 32",baker made number0 cakes . then he made number1 more cakes . he sold number2 of them .,how many cakes would baker still have ?
baker made number0 cakes . then he made number1 more cakes . he sold number2 of them . how many more cakes did baker make than those he sold ?,81 92 46,- + number0 number1 number2,127.0,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 26, 27, 28]",Subtraction,"21, 11, 32",baker made number0 cakes . then he made number1 more cakes . he sold number2 of them .,how many more cakes did baker make than those he sold ?
baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries how many cakes would baker still have ?,61 167 108 44,- number1 number2,59.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",Subtraction,"33, 31",baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries,how many cakes would baker still have ?
baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries how many pastries would baker still have ?,56 124 104 29,- number0 number3,27.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",Subtraction,"33, 12, 31",baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries,how many pastries would baker still have ?
baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries how many more cakes than pastries did baker make ?,52 84 102 94,- number1 number0,32.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 11, 31",baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries,how many more cakes than pastries did baker make ?
baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries how many more pastries than cakes did baker make ?,134 11 140 92,- number0 number1,123.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 13, 31",baker made number0 pastries and number1 cakes . if he sold number2 cakes and number3 pastries,how many more pastries than cakes did baker make ?
baker made number0 cakes and number1 pastries . if he sold number2 pastries and number3 cakes how many more cakes than pastries did baker sell ?,14 153 8 97,- number3 number2,89.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 11, 31",baker made number0 cakes and number1 pastries . if he sold number2 pastries and number3 cakes,how many more cakes than pastries did baker sell ?
baker made number0 cakes and number1 pastries . if he sold number2 pastries and number3 cakes how many more pastries than cakes did baker sell ?,43 114 154 78,- number2 number3,76.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",Subtraction,"33, 13, 31",baker made number0 cakes and number1 pastries . if he sold number2 pastries and number3 cakes,how many more pastries than cakes did baker sell ?
kelly has number0 nintendo games . how many does she need to buy so that she will have number1 games left ?,22 140,- number1 number0,118.0,"[1, 2, 3, 4, 11, 17, 18, 19, 20]",Subtraction,11,kelly has number0 nintendo games .,how many does she need to buy so that she will have number1 games left ?
kelly has number0 nintendo games . how many will she have left if she gives away number1 games ?,106 64,- number0 number1,42.0,"[1, 2, 3, 4, 8, 15, 16, 17]",Subtraction,23,kelly has number0 nintendo games .,how many will she have left if she gives away number1 games ?
kelly gives away number0 nintendo games . how many did she have initially if she still has number1 games left ?,91 92,+ number0 number1,183.0,"[1, 2, 3, 4, 5, 9, 16, 17, 18, 19]",Addition,23,kelly gives away number0 nintendo games .,how many did she have initially if she still has number1 games left ?
kelly has number0 nintendo games and number1 sony games . how many nintendo games does she need to give away so that she will have number2 nintendo games left ?,20 70 12,- number0 number2,8.0,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 24, 25, 26, 27, 28]",Subtraction,22,kelly has number0 nintendo games and number1 sony games .,how many nintendo games does she need to give away so that she will have number2 nintendo games left ?
kelly has number0 nintendo games and number1 sony games . how many sony games does she need to give away so that she will have number2 sony games left ?,46 132 31,- number1 number2,101.0,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 24, 25, 26, 27, 28]",Subtraction,22,kelly has number0 nintendo games and number1 sony games .,how many sony games does she need to give away so that she will have number2 sony games left ?
kelly has number0 nintendo games . she found number1 more nintendo games . how many does she need to give away so that she will have number2 games left ?,80 31 6,- + number0 number1 number2,105.0,"[1, 2, 3, 4, 7, 8, 9, 11, 12, 25, 26, 27, 28]",Subtraction,21,kelly has number0 nintendo games . she found number1 more nintendo games .,how many does she need to give away so that she will have number2 games left ?
randy has some blocks . he uses number0 blocks to build a tower . if there are number1 blocks left how many blocks did he have at the start ?,52 38,+ number0 number1,90.0,"[1, 2, 6, 7, 8, 11, 16, 17, 18, 26, 27, 28]",Addition,23,randy has some blocks . he uses number0 blocks to build a tower . if there are number1 blocks left,how many blocks did he have at the start ?
randy has number0 blocks . he uses some blocks to build a tower . if there are number1 blocks left how many blocks did he use to build the tower ?,97 72,- number0 number1,25.0,"[1, 2, 3, 5, 7, 16, 17, 18, 27, 28, 29]",Subtraction,23,randy has number0 blocks . he uses some blocks to build a tower . if there are number1 blocks left,how many blocks did he use to build the tower ?
randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house . how many blocks are left ?,79 14 11,- number0 + number1 number2,54.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15, 23, 24, 25]",Subtraction,21,randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house .,how many blocks are left ?
randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house . how many blocks did he use to build the tower and the house altogether ?,58 27 53,+ number1 number2,80.0,"[32, 1, 2, 3, 33, 5, 6, 7, 8, 34, 13, 14, 15]",Addition,"21, 11",randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house .,how many blocks did he use to build the tower and the house altogether ?
randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house . how many more blocks did he use to build the tower than he did to build the house ?,37 33 13,- number1 number2,20.0,"[1, 2, 3, 36, 37, 6, 7, 8, 38, 13, 14, 15]",Subtraction,"21, 11",randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house .,how many more blocks did he use to build the tower than he did to build the house ?
randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house . how many more blocks did he use to build the house than he did to build the tower ?,86 79 82,- number2 number1,3.0,"[1, 2, 3, 36, 37, 6, 7, 8, 38, 13, 14, 15]",Subtraction,"21, 11",randy has number0 blocks . he uses number1 blocks to build a tower and number2 blocks to build a house .,how many more blocks did he use to build the house than he did to build the tower ?
randy uses number0 blocks to build a tower . if he had number1 blocks how many blocks are left ?,36 59,- number1 number0,23.0,"[1, 2, 3, 6, 11, 12, 13, 16, 17, 18]",Subtraction,32,randy uses number0 blocks to build a tower . if he had number1 blocks,how many blocks are left ?
randy has number0 blocks . he uses number1 blocks to build a house and number2 blocks to build a tower . how many more blocks did he use to build the tower than he did to build the house ?,95 20 50,- number2 number1,30.0,"[1, 2, 3, 36, 37, 6, 7, 8, 38, 13, 14, 15]",Subtraction,"21, 11, 32",randy has number0 blocks . he uses number1 blocks to build a house and number2 blocks to build a tower .,how many more blocks did he use to build the tower than he did to build the house ?
randy has number0 blocks . he uses number1 blocks to build a house and number2 blocks to build a tower . how many more blocks did he use to build the house than he did to build the tower ?,90 89 63,- number1 number2,26.0,"[1, 2, 3, 36, 37, 6, 7, 8, 38, 13, 14, 15]",Subtraction,"21, 11, 32",randy has number0 blocks . he uses number1 blocks to build a house and number2 blocks to build a tower .,how many more blocks did he use to build the house than he did to build the tower ?
there are number0 different books in the ' crazy silly school ' series . if you are yet to read number1 of the books how many books have you already read ?,20 5,- number0 number1,15.0,"[1, 2, 3, 4, 11, 16, 19, 20, 21, 28, 29, 30]",Subtraction,23,there are number0 different books in the ' crazy silly school ' series . if you are yet to read number1 of the books,how many books have you already read ?
there are many different books in the ' crazy silly school ' series . if you have read number0 of the books and are yet to read number1 books how many books are there in the ' crazy silly school ' series ?,13 8,+ number0 number1,21.0,"[1, 2, 3, 39, 40, 41, 12, 16, 17, 18, 19, 26, 27, 28]",Addition,23,there are many different books in the ' crazy silly school ' series . if you have read number0 of the books and are yet to read number1 books,how many books are there in the ' crazy silly school ' series ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books do you still have to read ?,22 10 12 56,- number0 number2,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 38, 39, 40, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,33,there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books do you still have to read ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies do you still have to watch ?,4 17 19 7,- number1 number3,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 38, 39, 40, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies do you still have to watch ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books than movies are there in the ' crazy silly school ' series ?,16 14 19 13,- number0 number1,2.0,"[1, 2, 3, 4, 5, 6, 7, 8, 44, 45, 14, 15, 46, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books than movies are there in the ' crazy silly school ' series ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies than books are there in the ' crazy silly school ' series ?,8 10 19 61,- number1 number0,2.0,"[1, 2, 3, 4, 5, 6, 7, 8, 44, 45, 14, 15, 46, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies than books are there in the ' crazy silly school ' series ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books than movies have you read ?,10 11 13 12,- number2 number3,1.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books than movies have you read ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies than books have you read ?,11 17 7 21,- number3 number2,14.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies than books have you read ?
you have read number0 books from the ' crazy silly school ' series . if there are a total of number1 different books in the ' crazy silly school ' series how many more do you still have to read ?,8 14,- number1 number0,6.0,"[2, 3, 4, 37, 38, 7, 39, 19, 20, 21, 22]",Subtraction,32,you have read number0 books from the ' crazy silly school ' series . if there are a total of number1 different books in the ' crazy silly school ' series,how many more do you still have to read ?
there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books do you still have to read ?,62 19 4 34,- number1 number2,15.0,"[1, 2, 3, 4, 5, 6, 7, 8, 38, 39, 40, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books do you still have to read ?
there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies do you still have to watch ?,8 21 7 4,- number0 number3,4.0,"[1, 2, 3, 4, 5, 6, 7, 8, 38, 39, 40, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies do you still have to watch ?
there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more books than movies are there in the ' crazy silly school ' series ?,14 15 11 40,- number1 number0,1.0,"[1, 2, 3, 4, 5, 6, 7, 8, 44, 45, 14, 15, 46, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more books than movies are there in the ' crazy silly school ' series ?
there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies how many more movies than books are there in the ' crazy silly school ' series ?,17 11 13 63,- number0 number1,6.0,"[1, 2, 3, 4, 5, 6, 7, 8, 44, 45, 14, 15, 46, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 13, 31",there are number0 different movies and number1 different books in the ' crazy silly school ' series . if you read number2 of the books and watched number3 of the movies,how many more movies than books are there in the ' crazy silly school ' series ?
there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the movies and watched number3 of the books how many more books than movies have you read ?,10 6 14 19,- number3 number2,5.0,"[1, 2, 3, 4, 5, 6, 7, 8, 37, 38, 39, 14, 15, 20, 21, 22, 26, 27, 28]",Subtraction,"33, 11",there are number0 different books and number1 different movies in the ' crazy silly school ' series . if you read number2 of the movies and watched number3 of the books,how many more books than movies have you read ?
